Keypoint_1_x,Keypoint_2_x,Keypoint_3_x,Keypoint_4_x,Keypoint_5_x,Keypoint_6_x,Keypoint_7_x,Keypoint_8_x,Keypoint_9_x,Keypoint_10_x,Keypoint_11_x,Keypoint_12_x,Keypoint_13_x,Keypoint_14_x,Keypoint_15_x,Keypoint_16_x,Keypoint_17_x,Keypoint_18_x,Keypoint_19_x,Keypoint_20_x,Keypoint_21_x,Keypoint_22_x,Keypoint_23_x,Keypoint_24_x,Keypoint_25_x,Keypoint_26_x,Keypoint_27_x,Keypoint_28_x,Keypoint_29_x,Keypoint_30_x,Keypoint_31_x,Keypoint_32_x,Keypoint_33_x,Keypoint_1_y,Keypoint_2_y,Keypoint_3_y,Keypoint_4_y,Keypoint_5_y,Keypoint_6_y,Keypoint_7_y,Keypoint_8_y,Keypoint_9_y,Keypoint_10_y,Keypoint_11_y,Keypoint_12_y,Keypoint_13_y,Keypoint_14_y,Keypoint_15_y,Keypoint_16_y,Keypoint_17_y,Keypoint_18_y,Keypoint_19_y,Keypoint_20_y,Keypoint_21_y,Keypoint_22_y,Keypoint_23_y,Keypoint_24_y,Keypoint_25_y,Keypoint_26_y,Keypoint_27_y,Keypoint_28_y,Keypoint_29_y,Keypoint_30_y,Keypoint_31_y,Keypoint_32_y,Keypoint_33_y,Keypoint_1_z,Keypoint_2_z,Keypoint_3_z,Keypoint_4_z,Keypoint_5_z,Keypoint_6_z,Keypoint_7_z,Keypoint_8_z,Keypoint_9_z,Keypoint_10_z,Keypoint_11_z,Keypoint_12_z,Keypoint_13_z,Keypoint_14_z,Keypoint_15_z,Keypoint_16_z,Keypoint_17_z,Keypoint_18_z,Keypoint_19_z,Keypoint_20_z,Keypoint_21_z,Keypoint_22_z,Keypoint_23_z,Keypoint_24_z,Keypoint_25_z,Keypoint_26_z,Keypoint_27_z,Keypoint_28_z,Keypoint_29_z,Keypoint_30_z,Keypoint_31_z,Keypoint_32_z,Keypoint_33_z,class_no,class_name
0.474586248,0.49434495,0.504668355,0.513553917,0.459540784,0.447471946,0.436172724,0.529648781,0.42341575,0.497994244,0.453460813,0.615737855,0.336358249,0.666848063,0.279979825,0.634706378,0.324861705,0.623034477,0.338345617,0.604341984,0.363340676,0.601107001,0.363464236,0.559084535,0.407811582,0.559264839,0.413707346,0.543582201,0.424035162,0.520789504,0.441892892,0.598920763,0.407221824,0.145048887,0.128498018,0.128592193,0.128874034,0.128497809,0.128662586,0.128847241,0.135690033,0.134998292,0.165033281,0.165723383,0.24784103,0.249334395,0.373621404,0.382667184,0.48853004,0.488622367,0.528990209,0.524476528,0.518929958,0.514253616,0.504857242,0.502326012,0.516380608,0.517980814,0.702602386,0.711113095,0.876954198,0.884140193,0.900522351,0.905537307,0.944275618,0.946723104,-0.8540259,-0.810953617,-0.811019421,-0.81093365,-0.812993884,-0.813070655,-0.813144922,-0.510314882,-0.524079382,-0.738811195,-0.742725611,-0.289852262,-0.308362603,-0.17812258,-0.247968286,-0.484123915,-0.569441915,-0.578358412,-0.659705639,-0.659488678,-0.7300511,-0.519625068,-0.600801408,0.015037659,-0.014918084,0.003440984,-0.025506692,0.439613879,0.385081768,0.460577726,0.40534234,0.125815123,0.057395786,0,normal
0.361800283,0.375086963,0.383396566,0.391038865,0.344645649,0.332399428,0.320818692,0.395602584,0.304309905,0.377641737,0.339789659,0.445475459,0.219678447,0.474072635,0.188089147,0.492087543,0.21587716,0.492996097,0.21577692,0.48634246,0.237889126,0.478125662,0.245301768,0.439232677,0.310645521,0.479532093,0.325566471,0.445422947,0.345932186,0.421084404,0.332778484,0.55628711,0.381805807,0.141099945,0.124035843,0.124277778,0.124691658,0.12451081,0.12505199,0.125559941,0.13265653,0.13327302,0.161843076,0.162466004,0.232484251,0.24651289,0.35120523,0.386919051,0.447264522,0.518952549,0.483256727,0.560889006,0.475531131,0.557846189,0.465379655,0.545918584,0.514072299,0.517812967,0.694736183,0.703360915,0.872854769,0.883767247,0.899810791,0.907509208,0.92786175,0.941634417,-0.643692672,-0.589046001,-0.589231431,-0.589218438,-0.617687762,-0.61766094,-0.617668569,-0.253762752,-0.387120426,-0.515025437,-0.552528977,0.026830621,-0.288635999,0.093497664,-0.278206527,-0.30538103,-0.508326411,-0.393911034,-0.592718005,-0.471757054,-0.643587053,-0.34976393,-0.529284835,0.133321971,-0.133298784,0.172267273,-0.200340092,0.430325627,0.090152204,0.439638615,0.10038501,0.197645247,-0.216898769,0,normal
0.426598519,0.425412834,0.431145012,0.436689347,0.409255713,0.400929809,0.395264953,0.435225248,0.385680079,0.433561653,0.4154329,0.544561386,0.316802084,0.573760509,0.305071771,0.544111013,0.42451629,0.530341685,0.454340547,0.515446186,0.464779526,0.515258968,0.459731311,0.508562803,0.379489571,0.551735044,0.360568821,0.563628078,0.371923625,0.548372746,0.366877973,0.602483571,0.392232269,0.217697442,0.201978028,0.201125666,0.200354725,0.204594016,0.205385134,0.20597133,0.20403327,0.211301312,0.23413597,0.235501334,0.285836399,0.301685959,0.39612636,0.417628735,0.482011199,0.514454365,0.509757102,0.557282209,0.500441134,0.550893068,0.491471976,0.540591002,0.529199302,0.532252252,0.695113719,0.70268172,0.852079093,0.859381676,0.872077167,0.876850724,0.898082554,0.911718547,-1.056564689,-1.024489403,-1.024407506,-1.024491191,-1.031663656,-1.031841397,-1.031900644,-0.733683705,-0.766810715,-0.938066244,-0.947926641,-0.494316369,-0.53313309,-0.380307823,-0.447703302,-0.574338973,-0.603907466,-0.66265285,-0.687190175,-0.716644108,-0.736881614,-0.596854448,-0.62546581,0.028405052,-0.028336596,0.118427455,0.086874276,0.45938772,0.466338485,0.469595999,0.488057375,0.188750058,0.207669422,0,normal
0.529045403,0.549487293,0.563475609,0.577890456,0.513836563,0.501746953,0.489414513,0.597347081,0.473786414,0.550141692,0.505214155,0.685683966,0.357520133,0.79091692,0.283873022,0.703608453,0.316454411,0.675128937,0.321000487,0.650376737,0.346954525,0.652557075,0.350302994,0.584024012,0.398218513,0.552557826,0.322206646,0.522606134,0.281477839,0.496010393,0.310191751,0.55458051,0.158547357,0.117414594,0.100980558,0.101595819,0.102405496,0.100319676,0.100361943,0.100578077,0.109974541,0.107778817,0.138466358,0.134958133,0.210610613,0.201661855,0.339986473,0.327770621,0.454849273,0.444870353,0.496884942,0.480721802,0.479640305,0.474679381,0.465945333,0.463915706,0.490807146,0.484289557,0.701868773,0.693211496,0.870796859,0.882802546,0.891294897,0.909783363,0.938191295,0.938290656,-1.014209032,-0.971871853,-0.971900821,-0.971885622,-0.970129073,-0.970220268,-0.970332384,-0.625888944,-0.620670438,-0.874687493,-0.873844624,-0.369533658,-0.267187119,-0.192419156,-0.062212989,-0.445895344,-0.356648892,-0.542046189,-0.439865023,-0.627999902,-0.553388774,-0.47705391,-0.403052598,-0.036040738,0.036224402,0.032718159,0.009113486,0.466578275,0.352831125,0.481408209,0.35828656,0.089147396,-0.030789707,0,normal
0.713481307,0.822420597,0.7431162,0.711799026,0.687536657,0.666356683,0.648492694,0.63928616,0.632285237,0.742967486,0.673805058,0.564228952,0.479654849,0.508463681,0.334013164,0.669223964,0.383517414,0.707507849,0.382014036,0.719047606,0.423450679,0.704423606,0.435454756,0.50569135,0.446115971,0.49910149,0.469565511,0.504935086,0.433437914,0.481318265,0.468734354,0.640092969,0.53953141,0.18818292,0.167408928,0.166423261,0.165318668,0.167471364,0.166553959,0.165489286,0.16748786,0.167278379,0.207350343,0.205294609,0.358970821,0.282979518,0.374176681,0.275924236,0.417017817,0.357098758,0.415192097,0.384500414,0.406819999,0.382961571,0.407590449,0.372862458,0.4901568,0.481471479,0.6550771,0.659415245,0.823728442,0.838921964,0.850961626,0.871275783,0.847301006,0.8612988,-0.263944387,-0.210721985,-0.21074149,-0.210684896,-0.304557651,-0.304622471,-0.304709256,0.070783682,-0.375105441,-0.151773751,-0.278331488,0.339690149,-0.423040539,0.489801854,-0.769104362,0.262198508,-1.145456672,0.237107024,-1.249534607,0.138400823,-1.233366251,0.21103175,-1.143711805,0.252209097,-0.251874626,0.236844972,-0.252809823,0.394093454,-0.145209685,0.38820231,-0.152196676,0.16494523,-0.426588953,0,normal
0.515383184,0.526462257,0.529783547,0.535867453,0.496402591,0.48588413,0.475430667,0.54162401,0.459899157,0.531485379,0.497961074,0.619555593,0.38912347,0.694240272,0.2485165,0.676911891,0.359191597,0.669673383,0.386781693,0.647174299,0.411653191,0.641918838,0.407965273,0.566672027,0.429629952,0.601255655,0.420868248,0.628963828,0.411907613,0.600433171,0.415858448,0.767503798,0.449779123,0.161042675,0.148627266,0.148096129,0.147576556,0.151613578,0.153538182,0.155803725,0.15689455,0.165670231,0.178266108,0.181380272,0.266330034,0.261304945,0.373202175,0.351550311,0.465502173,0.457515031,0.499910384,0.485010386,0.4913764,0.474161834,0.480160743,0.464103639,0.534940779,0.538304925,0.706148267,0.731636882,0.882981241,0.884342253,0.917445958,0.900951385,0.917676866,0.954749405,-0.655397356,-0.602759182,-0.602791846,-0.602757633,-0.624091566,-0.624018729,-0.623845994,-0.221999452,-0.378114432,-0.528121591,-0.559243381,0.029151149,-0.301220506,0.176193222,-0.339210957,-0.087529764,-0.542816639,-0.127693862,-0.631753147,-0.230897233,-0.648249686,-0.052177522,-0.550274193,0.162158877,-0.161921501,0.437650353,-0.173479885,0.713249981,-0.015110598,0.737198353,0.027125787,0.48059833,-0.193324625,0,normal
0.512049019,0.525561035,0.534537613,0.541495204,0.497363597,0.485756755,0.475673944,0.55114001,0.461077362,0.529153049,0.493909717,0.634965241,0.37206313,0.676519513,0.309654057,0.677576065,0.280848444,0.671035588,0.261748582,0.65975368,0.27371186,0.658059239,0.284940541,0.592760861,0.452266037,0.574400723,0.472176939,0.566778243,0.459912896,0.546425879,0.462594956,0.639140666,0.455746919,0.208900541,0.191004485,0.190313697,0.189717442,0.19188033,0.191751495,0.191493586,0.192742616,0.193673536,0.225213259,0.225091472,0.276840836,0.28174749,0.400910258,0.401398599,0.495605379,0.503343463,0.531861603,0.535267651,0.529488683,0.533976316,0.515927851,0.525378942,0.542362809,0.548514128,0.727926016,0.736498177,0.911594152,0.916978359,0.93284905,0.937879682,0.970371902,0.974305272,-0.894600511,-0.86474663,-0.864793539,-0.864835739,-0.87662828,-0.876544952,-0.876481414,-0.479742408,-0.602518618,-0.760954916,-0.778296769,-0.225661203,-0.352066159,0.048763134,-0.188666955,-0.159020424,-0.384518296,-0.217675254,-0.442070931,-0.315566331,-0.526203692,-0.192203104,-0.421776801,0.039220884,-0.038899101,0.095459312,-0.030337919,0.408095717,0.330521107,0.424273074,0.358923703,0.125824779,0.051013,0,normal
0.525252044,0.53576684,0.544853091,0.553895712,0.506876051,0.497998893,0.490998507,0.569636464,0.479901195,0.546547771,0.513777614,0.657435596,0.415614009,0.646158278,0.391937703,0.486516178,0.533927798,0.452888906,0.541255534,0.452371508,0.58136797,0.464637667,0.577335298,0.605804741,0.469558001,0.597288072,0.437707871,0.557825565,0.390256047,0.534973025,0.4060058,0.607742667,0.366192698,0.118697286,0.098350868,0.096973352,0.09597946,0.10195493,0.103015952,0.103978284,0.101055548,0.109735787,0.139210925,0.143100962,0.200931996,0.206661016,0.335043997,0.344231814,0.318396688,0.328729421,0.320382655,0.317818373,0.310922831,0.298011601,0.309834659,0.300636888,0.511329174,0.507649183,0.704830229,0.692826927,0.887519836,0.887048602,0.910966754,0.910224676,0.951557338,0.954981148,-0.695969403,-0.669270098,-0.669244528,-0.669174612,-0.660419583,-0.660429955,-0.660526931,-0.405638754,-0.369288146,-0.589265227,-0.578247011,-0.240026817,-0.226999536,-0.213697568,-0.387960643,-0.227656007,-0.60169065,-0.265577555,-0.66857034,-0.274545968,-0.648033798,-0.220357507,-0.595597804,-0.006494977,0.006634371,0.195819005,0.170725584,0.68654567,0.607268453,0.720501721,0.638139069,0.395991266,0.346543133,0,normal
0.485159427,0.470154256,0.459139884,0.448518932,0.501102746,0.509909689,0.517250717,0.430924922,0.525805175,0.468354464,0.500660002,0.296132952,0.629507065,0.092974342,0.878022194,0.234494984,0.725251138,0.266710758,0.697258592,0.293091446,0.660462439,0.291490942,0.659139097,0.386363238,0.430302709,0.343658179,0.535334647,0.367428958,0.341721654,0.395906687,0.407219499,0.35435769,0.470044613,0.269179493,0.253154516,0.252386451,0.251763135,0.252999634,0.252435893,0.252072006,0.259085327,0.263640493,0.278556228,0.282967716,0.311408341,0.366806269,0.387980908,0.46995014,0.596848965,0.541749299,0.632313311,0.621885002,0.618697703,0.617554188,0.607055247,0.600301981,0.626715183,0.623087645,0.85440141,0.848713517,0.984177947,0.94089663,1.017966628,0.982233703,0.955916822,0.952923477,0.570373118,0.456536949,0.45651257,0.45624119,0.466404706,0.466635436,0.466528177,0.046974283,0.093035914,0.448500603,0.461150467,-0.213520497,-0.076303259,-0.189197972,-0.109876521,0.096594468,-0.031873431,0.103895985,-0.022561861,0.141010106,-0.01055649,0.128991991,-0.025020424,-0.086260654,0.085687853,0.448551267,0.677896082,0.560504556,0.950883746,0.616599143,0.992599308,0.805031955,1.156945825,0,normal
0.459177732,0.475652367,0.487228632,0.499097496,0.445355177,0.436519295,0.428314686,0.528909564,0.428215772,0.480685294,0.44610849,0.606409371,0.40695706,0.49903661,0.38935104,0.578785717,0.376416177,0.558357894,0.366930783,0.528873444,0.37528494,0.533614874,0.380067497,0.55019325,0.44181329,0.562777221,0.455700666,0.583764315,0.483722121,0.613475323,0.50352639,0.570084989,0.443879455,0.154730633,0.139881074,0.139437973,0.139207453,0.141379982,0.142065063,0.142761961,0.145673409,0.149359956,0.173548967,0.175876752,0.243237466,0.260058731,0.387747318,0.373241872,0.499585956,0.460978776,0.53931725,0.495130092,0.529200196,0.493332416,0.514852166,0.483492672,0.469948471,0.481313229,0.658376634,0.653464913,0.767392755,0.757248163,0.80546385,0.798853099,0.850987077,0.833077729,-0.692765713,-0.672595203,-0.672839224,-0.673172832,-0.643202841,-0.643132806,-0.643152118,-0.507634878,-0.351222992,-0.625445008,-0.58556819,-0.450990826,-0.114502802,-0.343973398,0.080790147,-0.346282184,-0.040925924,-0.412485033,-0.07332579,-0.4493213,-0.144826218,-0.355545074,-0.073024109,-0.115239337,0.115343578,-0.135951698,0.148587346,0.322257966,0.602455497,0.353801966,0.636562049,0.095947124,0.399867415,0,normal
